id,name,series_id/id
__setup__.product_reporting_system_rugged_high_performance_nuvo_series_nuvo_6000,Nuvo-6000,__setup__.product_reporting_series_rugged_high_performance_nuvo_series
__setup__.product_reporting_system_rugged_high_performance_nuvo_series_nuvo_8108gc,Nuvo-8108GC,__setup__.product_reporting_series_rugged_high_performance_nuvo_series
__setup__.product_reporting_system_rugged_high_performance_nuvo_series_nuvo_8208gc,Nuvo-8208GC,__setup__.product_reporting_series_rugged_high_performance_nuvo_series
__setup__.product_reporting_system_rugged_high_performance_nuvo_series_rgs_8805gc,RGS-8805GC,__setup__.product_reporting_series_rugged_high_performance_nuvo_series
__setup__.product_reporting_system_rugged_jetson_nx_series_jetnx8,JETNX8,__setup__.product_reporting_series_rugged_jetson_nx_series
__setup__.product_reporting_system_rugged_jetson_nx_series_jetnx8_f,JETNX8-F,__setup__.product_reporting_series_rugged_jetson_nx_series
__setup__.product_reporting_system_rugged_legacy_rugged_igt_series_igt_20,IGT-20,__setup__.product_reporting_series_rugged_legacy_rugged_igt_series
__setup__.product_reporting_system_rugged_legacy_rugged_legacy_rugged_rugged_other_,Rugged (Other),__setup__.product_reporting_series_rugged_legacy_rugged_legacy_rugged
__setup__.product_reporting_system_rugged_legacy_rugged_nuvis_series_nuvis_3304af,Nuvis-3304af,__setup__.product_reporting_series_rugged_legacy_rugged_nuvis_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvis_series_nuvis_5306rt,Nuvis-5306RT,__setup__.product_reporting_series_rugged_legacy_rugged_nuvis_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_1000,Nuvo-1000,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_1300af,Nuvo-1300af,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_2510vtc,Nuvo-2510VTC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_3000,Nuvo-3000,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_3000lp,Nuvo-3000LP,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_3000tb,Nuvo-3000TB,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_3100vtc,Nuvo-3100VTC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_4000,Nuvo-4000,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_5026e,Nuvo-5026E,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_5100vtc,Nuvo-5100VTC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_6108gc,Nuvo-6108GC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_7000de,Nuvo-7000DE,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_7100vtc,Nuvo-7100VTC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_nuvo_series_nuvo_7200vtc,Nuvo-7200VTC,__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series
__setup__.product_reporting_system_rugged_legacy_rugged_poc_series_poc_100,POC-100,__setup__.product_reporting_series_rugged_legacy_rugged_poc_series
__setup__.product_reporting_system_rugged_legacy_rugged_poc_series_poc_120,POC-120,__setup__.product_reporting_series_rugged_legacy_rugged_poc_series
__setup__.product_reporting_system_rugged_legacy_rugged_poc_series_poc_200,POC-200,__setup__.product_reporting_series_rugged_legacy_rugged_poc_series
